KNX US 05/18/18 C50 Equity,,,,,,,,,,,
,Delta(%),Gamma(%),Vega,Theta,Rho,Implied Vol.,MMkt Rate,,,,
4/19/18,13.49,2.0855,2.71,-1.72,0,36.91%,2.36%,,,,
4/13/18,17.28,1.7319,3.4,-2.32,0.01,47.67%,2.35%,,,,
4/6/18,23.22,1.8511,4.52,-2.61,0.01,48.62%,2.34%,,,,
3/29/18,27,2.7864,5.63,-1.81,0.02,32.06%,2.31%,,,,
3/23/18,36.93,2.9155,6.99,-2.08,0.02,33.04%,2.29%,,,,
3/16/18,52.27,3.0051,8.23,-2.1,0.04,31.90%,2.20%,,,,
3/9/18,47.82,3.0571,8.55,-1.83,0.04,29.75%,2.09%,,,,
3/2/18,45.36,2.6861,8.81,-1.85,0.04,32.12%,2.03%,,,,
2/28/18,46.36,2.1797,8.9,-2.19,0.04,39.18%,2.02%,,,,
,,,,,,,,,,,
NFLX US 05/18/18 C315 Equity,,,,,,,,,,,
,Delta(%),Gamma(%),Vega,Theta,Rho,Implied Vol.,MMkt Rate,,,,
4/19/18,72.15,3.1798,31.48,-20.61,0.17,37.46%,2.36%,,,,
4/13/18,51.21,2.425,38.48,-29.07,0.13,53.10%,2.35%,,,,
4/6/18,35.23,2.0682,36.37,-22.84,0.1,52.92%,2.34%,,,,
3/29/18,40.17,2.0933,42.21,-20.98,0.14,49.92%,2.31%,,,,
3/23/18,44.95,2.0766,46.64,-20.16,0.18,48.65%,2.29%,,,,
3/16/18,56.83,2.1107,52.01,-18.35,0.27,44.83%,2.20%,,,,
3/9/18,64.52,1.8506,54.02,-17.53,0.34,45.93%,2.09%,,,,
3/2/18,46.32,1.9005,54.93,-16.12,0.25,45.51%,2.03%,,,,
2/28/18,39.87,1.8807,52.32,-14.53,0.22,44.12%,2.02%,,,,
,,,,,,,,,,,
XEO UO 05/18/18 P1220 Index         ,,,,,,,,,,,
,Delta(%),Gamma(%),Vega,Theta,Rho,Implied Vol.,MMkt Rate,,,,
4/19/18,-81.74,7.6202,87.4,-18.69,-0.8,12.22%,2.36%,,,,
4/13/18,-83.5,5.6359,88.79,-18.19,-0.99,14.07%,2.35%,,,,
4/6/18,-84.92,3.882,89.47,-19.11,-1.21,17.49%,2.34%,,,,
3/29/18,-74.77,4.2886,135.56,-27.52,-1.29,19.93%,2.31%,,,,
3/23/18,-83.53,3.5384,108.64,-17.6,-1.59,17.60%,2.29%,,,,
3/16/18,-53.9,7.4075,198.99,-20.46,-1.18,12.85%,2.20%,,,,
3/9/18,-45.16,6.6733,211.95,-20.56,-1.11,13.50%,2.09%,,,,
3/2/18,-64.84,5.6062,203.09,-19.32,-1.71,14.45%,2.03%,,,,
2/28/18,-54.88,5.668,221.03,-21.09,-1.52,14.93%,2.02%,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,