Security,NFLX US 05/18/18 C315 Equity                                    ,
Start Date,2/20/18 0:00,
End Date,4/27/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_BID,PX_ASK
4/19/18,24.2,24.65
4/18/18,25.7,26
4/17/18,27.25,27.55
4/16/18,15.15,15.45
4/13/18,18.95,19.2
4/12/18,17.9,18.1
4/11/18,15.6,15.85
4/10/18,12.8,12.95
4/9/18,10.6,10.8
4/6/18,10.6,11.2
4/5/18,11.7,11.9
4/4/18,10.4,10.7
4/3/18,9.25,9.5
4/2/18,8.5,8.85
3/29/18,13.7,14.1
3/28/18,11.85,12.4
3/27/18,18.35,18.9
3/26/18,26.1,26.5
3/23/18,16.95,17.4
3/22/18,19.1,19.65
3/21/18,23.7,24.1
3/20/18,24.35,24.7
3/19/18,22.95,23.25
3/16/18,25,25.85
3/15/18,27.6,27.95
3/14/18,28.7,29.05
3/13/18,25.75,26.05
3/12/18,28.75,29.2
3/9/18,35.15,35.6
3/8/18,25.85,26.45
3/7/18,29.8,30.1
3/6/18,32.95,33.2
3/5/18,26.7,27
3/2/18,19.35,19.75
3/1/18,14.15,14.6
2/28/18,14.65,15.15
2/27/18,14.45,14.7
2/26/18,15.15,15.55
2/23/18,11.95,12.25
2/22/18,9.7,10.05
2/21/18,11.2,11.5
2/20/18,10.2,10.65