Date,NFLX US 05/18/18 C315 Equity (1.) Hist IVol (Last),,,
04/19/18,36.29520035,,,
04/18/18,36.08560181,,,
04/17/18,36.90610123,,,
04/16/18,49.98199844,,,
04/13/18,52.50930023,,,
04/12/18,52.32180023,,,
04/11/18,52.35189819,,,
04/10/18,50.0483017,,,
04/09/18,51.98239899,,,
04/06/18,51.90670013,,,
04/05/18,48.78720093,,,
04/04/18,49.59289932,,,
04/03/18,50.28150177,,,
04/02/18,50.3409996,,,
03/29/18,48.85620117,,,
03/28/18,53.21110153,,,
03/27/18,53.00579834,,,
03/26/18,46.84590149,,,
03/23/18,47.92250061,,,
03/22/18,46.17089844,,,
03/21/18,44.39239883,,,
03/20/18,44.6352005,,,
03/19/18,45.59590149,,,
03/16/18,43.47320175,,,
03/15/18,44.91989899,,,
03/14/18,45.76839828,,,
03/13/18,46.22689819,,,
03/12/18,46.07289886,,,
03/09/18,44.59569931,,,
03/08/18,44.36429977,,,
03/07/18,46.27569962,,,
03/06/18,46.66690063,,,
03/05/18,45.84479904,,,
03/02/18,44.74449921,,,
03/01/18,44.4618988,,,
02/28/18,42.77050018,,,
02/27/18,42.94760132,,,
02/26/18,41.78070068,,,
02/23/18,40.04130173,,,
02/22/18,41.86230087,,,
02/21/18,41.2419014,,,
02/20/18,41.47669983,,,