Date,XEO UO 05/18/18 P1220 Index (1.) Hist IVol (Best)
4/19/18,11.00335574
4/18/18,10.33603112
4/17/18,11.70165967
4/16/18,10.39974403
4/13/18,11.91988851
4/12/18,13.31788308
4/11/18,14.87567077
4/10/18,15.04427981
4/9/18,10.39948486
4/6/18,13.21808435
4/5/18,12.96740732
4/4/18,12.97729807
4/3/18,14.77002899
4/2/18,18.88364318
3/29/18,16.67158515
3/28/18,15.51869356
3/27/18,14.8392094
3/26/18,14.10681811
3/23/18,12.38866223
3/22/18,14.90689946
3/21/18,12.63135407
3/20/18,12.51105991
3/19/18,12.32042963
3/16/18,12.90556127
3/15/18,12.93373123
3/14/18,13.97939838
3/13/18,13.61311829
3/12/18,14.01236698
3/9/18,13.87016139
3/8/18,13.77593377
3/7/18,14.59499324
3/6/18,14.81491315
3/5/18,14.70648082
3/2/18,14.70232692
3/1/18,15.15226134
2/28/18,14.03608578
2/27/18,14.32670732
2/26/18,13.37792639
2/23/18,13.31116238
2/22/18,13.08087064
2/21/18,14.88162331
2/20/18,15.11920519
2/16/18,14.5063238
2/15/18,14.51676066
2/14/18,14.57698571
2/13/18,15.6609542
2/12/18,15.90870506
2/9/18,17.51378095
2/8/18,16.77317915
2/7/18,17.28496169
2/6/18,17.33505774
2/5/18,14.07340397
2/2/18,15.05000086
2/1/18,14.48952515
1/31/18,14.02901578
1/30/18,14.73251814
1/29/18,14.82106777
1/26/18,13.93445789
1/25/18,13.47397897
1/24/18,13.19961421
1/23/18,13.02594258
1/22/18,12.74081327